0,1,2,3,4,5,6,7
John F. Hylan,14-Nov-1921,Disabled,Near Jamaica Bay,Engine trouble,January 1922,30,
Livingston Roe,14-Nov-1921,Disabled,New York,Steerer disabled,January 1922,30,
Saginaw,14-Nov-1921,Grounded,Near Eureka,Undamaged,January 1922,31,
Tulsa,14-Nov-1921,Disabled,Halifax,Machinery trouble,January 1922,31,
Canadian Farmer,15-Nov-1921,Grounded,Nanaimo Harbor,Not Stated,January 1922,30,
Dove,15-Nov-1921,Not Stated,Fogo Island  Point,Total loss,January 1922,30,
Fukuyu Maru,15-Nov-1921,Collision,New Orleans,Not Stated,January 1922,30,
Lucy R.,15-Nov-1921,Ashore,Matinicus,On beam ends,January 1922,30,
Maryland,15-Nov-1921,Collision,New Orleans,Sank,January 1922,31,
Matagorda,15-Nov-1921,Collision,Galveston,Not Stated,January 1922,31,
Sarnia,15-Nov-1921,Fire,Port Arthur,Destroyed,January 1922,31,
Sintram,15-Nov-1921,Grounded,Nantucket Sound,Not Stated,January 1922,31,
Tuxpanoil,15-Nov-1921,Leaking,East of Nantucket Lightship,Not Stated,January 1922,31,
W. J. Patterson,15-Nov-1921,Collision,Galveston,Damage to rails and stanchions,January 1922,31,
George King,16-Nov-1921,Grounded,Niagara Channel,Undamaged,January 1922,30,
Maria Luisa,16-Nov-1921,Foundered,Off Zambales Coast,Sank,January 1922,31,
Amcross,17-Nov-1921,Struck Object,At Sea,Rudder damaged,January 1922,30,
Aragon,17-Nov-1921,Ashore,Lake Ontario,Abandoned,January 1922,30,
Captaine Damaine,17-Nov-1921,Disabled,Halifax,Engine disabled,January 1922,30,
Christopher,17-Nov-1921,Grounded,Detroit River,Undamaged,January 1922,30,
Nevis,17-Nov-1921,Not Stated,Majorca,Total wreck,January 1922,31,
Virginia Date,17-Nov-1921,Leaking,Mobile,Not Stated,January 1922,31,
David McKelvey,18-Nov-1921,Collision,Off Cape Cod,Not Stated,January 1922,30,
Dolpin,18-Nov-1921,Disabled,Norfolk,Propeller broke,January 1922,30,
Hartford,18-Nov-1921,Ashore,Spectacle Island,Not Stated,January 1922,30,
Homer Smith,18-Nov-1921,Grounded,Lake St. Clair,Jettison cargo,January 1922,30,
Luna De Miel,18-Nov-1921,Disabled,Norfolk,Not Stated,January 1922,30,
Sintram,18-Nov-1921,Collision,Off Cape Cod,Sank,January 1922,31,
Thomas Crowley,18-Nov-1921,Disabled,San Pedro,Pumps broke,January 1922,31,
Almeda,19-Nov-1921,Fire,Off Virginia Capes,Not Stated,January 1922,30,
Gyp,19-Nov-1921,Ashore,St. Etienne Bay,Not Stated,January 1922,30,
Laguna,19-Nov-1921,Ashore,Banes,Jettison cargo,January 1922,30,
Mansanillo,19-Nov-1921,Grounded,Cayo Frances,Slight,January 1922,31,
Veendijk,19-Nov-1921,Fire,Batavia,Damage to bunker coal,January 1922,31,
Waukau,19-Nov-1921,Disabled,Bermuda,Boilers Leak,January 1922,31,
General Church,20-Nov-1921,Grounded,Piraeus,Jettison cargo,January 1922,30,
Morro Castle,20-Nov-1921,Disabled,At Sea,Broke cylinder,January 1922,30,
Nevis,20-Nov-1921,Fire,Halifax,Not Stated,January 1922,31,
Nola,20-Nov-1921,Collision,New Orleans,Plates damaged,January 1922,31,
Elmdale,21-Nov-1921,Collision,Macoris,Not Stated,January 1922,30,
Ferm,21-Nov-1921,Ashore,St. Shotts,Maybe total loss,January 1922,30,
Massick,21-Nov-1921,Struck Wreck,Off Dragor,Not Stated,January 1922,31,
Maude S.,21-Nov-1921,Wrecked,Deer Island,Broke in two,January 1922,31,
Yaque,21-Nov-1921,Collision,Macoris,Considerable damage,January 1922,31,
Bertie M. Hanlon,22-Nov-1921,Disabled,Out of Albion,Boiler Trouble,January 1922,30,
Portland,22-Nov-1921,Ashore,Weaver's Point,Not Stated,January 1922,31,
Adventuress,23-Nov-1921,Collision,San Francisco Bar,Slight,January 1922,30,
Alaskan,23-Nov-1921,Collision,Boston,Broke stanchions,January 1922,30,
Caloria,23-Nov-1921,Grounded,Above Cave Point,Not Stated,January 1922,30,
Deuel,23-Nov-1921,Disabled,North Hinder Lightship,Broke shaft,January 1922,30,
