0,1,2,3,4,5,6,7
Varuna,8-Feb-1922,Disabled,Alligator Reef,Headgear gone,March 1922,125,
Herbert May,9-Feb-1922,Grounded,Marquesas,Total loss,March 1922,124,
Luther Little,9-Feb-1922,Gale,At Sea,Lost jibboom,March 1922,124,
Mary A. Kenny,9-Feb-1922,Fire,Brooklyn,Damage to cargo,March 1922,124,
Palma,9-Feb-1922,Fire,At Sea,Total loss,March 1922,125,
Songelv,9-Feb-1922,Disabled,St. Michaels,Rudder gone,March 1922,125,
West Chatala,9-Feb-1922,Disabled,Falmouth,Steerer damaged,March 1922,125,
Bessie Dollar,10-Feb-1922,Storm,Off Washington,Heavy damage,March 1922,124,
Craster Hall,10-Feb-1922,Disabled,Astoria,Steam pipe broke,March 1922,124,
Eastern Sea,10-Feb-1922,Heavy Weather,At Sea,Slight Damage,April 1922,171,
El Valle,10-Feb-1922,Collision,New York,Not Stated,March 1922,124,
J. C. Donnell,10-Feb-1922,Grounded,Reedy Island,Not Stated,March 1922,124,
Rose E. Murphy,10-Feb-1922,Leaking,Cape Haitien,Slight Damage,March 1922,125,
Stockton,10-Feb-1922,Collision,San Pedro,Heavy damage,March 1922,125,
Tancred,10-Feb-1922,Grounded,North of Hillsboro,Not Stated,March 1922,125,
U. S. Eagle No. 34,10-Feb-1922,Fog,San Pedro,Slight Damage,March 1922,125,
Wasagya,10-Feb-1922,Disabled,Hampton Roads,Not Stated,March 1922,125,
Whitehaven,10-Feb-1922,Collision,New Yrok,Sank,March 1922,125,
Clement Smith,11-Feb-1922,Struck Object,Broad Sound,Heavy damage,April 1922,171,
Jules Henry,11-Feb-1922,Disabled,Key West,Machinery disabled,April 1922,171,
Nordhaven,11-Feb-1922,Disabled,Copenhagen,Machinery disabled,April 1922,171,
Rose E. Murphy,11-Feb-1922,Disabled,Cape Haitien,Leaking,April 1922,171,
Czarina,12-Feb-1922,Dismasted,At Sea,Not Stated,April 1922,171,
E. C.  Adams,12-Feb-1922,"Gales, Leak",At Sea,Sails gone,April 1922,171,
Igotz Mendi,12-Feb-1922,Disabled,Fayal,Engine trouble,April 1922,171,
Lisbon,12-Feb-1922,Fire,South of South Pass,Not Stated,April 1922,171,
Minnequa,12-Feb-1922,Ashore,Martins Industry Shoals,Not Stated,April 1922,171,
Nueces,12-Feb-1922,Disabled,Key West,Steam pipes disabled,April 1922,171,
Aldgate,13-Feb-1922,Disabled,Bermuda,Boiler Trouble,April 1922,171,
Caldwell O. Colt,13-Feb-1922,Not Stated,Tortugas Florida Light,Wrecked,April 1922,171,
Maruba,13-Feb-1922,Disabled,New York,Engine trouble,April 1922,171,
Nevis,13-Feb-1922,Disabled,New York,Engine trouble,April 1922,171,
Norma Strong,13-Feb-1922,Not Stated,At Sea,Abandoned,April 1922,171,
Texas,13-Feb-1922,Grounded,Vineyard Haven Sound,Undamaged,April 1922,171,
West Totant,13-Feb-1922,Fire,Texas City,Slight Damage,April 1922,171,
William Page,13-Feb-1922,Ran Afoul Scow,Providence,Hole in bow,April 1922,171,
Eastern Crag,14-Feb-1922,Disabled,At Sea,Rudder post broke,April 1922,171,
Editor,14-Feb-1922,Disabled,Southeast of Ambrose Lightship,Not Stated,April 1922,171,
Hickman,14-Feb-1922,Disabled,Hamburg,Engine damaged,April 1922,171,
Lithuania,14-Feb-1922,Ice Field,Cattegat,Rudder damaged,April 1922,171,
Marion G.  Douglass,14-Feb-1922,Pumps  Disabled,Newport News,Water in hold,April 1922,171,
Romeo,14-Feb-1922,Fire,Near Horta,Not Stated,April 1922,171,
Sisto,14-Feb-1922,Heavy Ice,Off St. Johns,Bow damaged,April 1922,171,
Starcoxie,14-Feb-1922,Disabled,Highlands,Not Stated,April 1922,171,
Ikala,15-Feb-1922,Severe Weather,At Sea,Damage to bow,April 1922,171,
Portland,15-Feb-1922,Lost Anchor & Chain,Hampton Roads,Not Stated,April 1922,171,
Springfield,15-Feb-1922,Fire,Portland,Slight Damage,April 1922,171,
Arkansas,16-Feb-1922,Ice,Cattegat,Propeller blades broken,April 1922,171,
City of Manchester,16-Feb-1922,Fire,London,Slight Damage,April 1922,171,
Egremont,16-Feb-1922,Disabled,Newport News,Lost anchor and chain,April 1922,171,
Elizabeth Rodway,16-Feb-1922,Steerer Damaged,Barbados,Heavy damaged,April 1922,171,
Fairfield City,16-Feb-1922,Hurricane,At Sea,Bridge wrecked,April 1922,171,
Joseph S. Zeman,16-Feb-1922,Grounded,"Rockland, Maine",Abandoned,April 1922,171,
Moritz,16-Feb-1922,Gale,Craney  Island,Ashore,April 1922,171,
Narbo,16-Feb-1922,Heavy Sea,East of Cape Henlopen,Disabled,April 1922,171,
Susan Cameton,16-Feb-1922,Gale,West of Cape Sable,Lost sails,April 1922,171,
Babinda,17-Feb-1922,"Fog, Grounded",Key Remute Pier,Undamaged,April 1922,171,
Golden Gate,17-Feb-1922,Fire,"Panama City, Florida",Total loss,April 1922,171,
Kobenhaven,17-Feb-1922,Disabled,Off San Francisco,Propeller broke,April 1922,171,
Maruba,17-Feb-1922,Disabled,Newport News,Not Stated,April 1922,171,
Ninon L.,17-Feb-1922,Leaking,Barbados,Not Stated,April 1922,171,
Selma City,17-Feb-1922,Grounded,Ediz Hook,Not Stated,April 1922,171,
Swiftarrow,17-Feb-1922,Disabled,Newport News,Not Stated,April 1922,171,
Tenyo Maru,17-Feb-1922,Disabled,Shanghai,Machinery disabled,April 1922,171,
Allenby,18-Feb-1922,Grounded,"Lamaline, Newfoundland",Jettison cargo,May 1922,214,
Commandant,18-Feb-1922,Weather Damage,Norfolk,Not Stated,April 1922,171,
"Edward R. Baird, Jr.",18-Feb-1922,Disabled,At Sea,Head sails gone,April 1922,171,
Frey,18-Feb-1922,Fire,Boston,Damage to forecastle,April 1922,171,
Kathleen Spindler,18-Feb-1922,Leaking Condition,At Sea,Abandoned,April 1922,171,
Oria,18-Feb-1922,Disabled,Hamburg,Engine damaged,April 1922,171,
Roxbury,18-Feb-1922,Fire,"Eureka, California",Not Stated,April 1922,171,
Balsam,19-Feb-1922,Grounded,Lough Foyle,Not Stated,April 1922,171,
Bradford E. Jones,19-Feb-1922,Disabled,St. Thomas,Leaking and sails lost,April 1922,171,
Lenape,19-Feb-1922,Grounded,New Jacksonville,Not Stated,April 1922,171,
Admiral Farragut,20-Feb-1922,"Adrift, Ashore",Burrard  Inlet,Undamaged,April 1922,171,
Afoundria,20-Feb-1922,Ashore,Ship Island,Undamaged,April 1922,171,
Annetta,20-Feb-1922,Grounded,Chester Island,Undamaged,April 1922,171,
J. N. Rafuse,20-Feb-1922,Not Stated,"Off St. Johns, Newfoundland",Sank,April 1922,171,
Narenta,20-Feb-1922,Grounded,Sinclair Island,Heavy damage,April 1922,171,
Paulsboro,20-Feb-1922,Collision,Off Schuykill River,Not Stated,April 1922,171,
Selma,20-Feb-1922,Grounded,Pelican Flats,Not Stated,April 1922,171,
Eastern Sea,21-Feb-1922,Grounded,Near Masblius,Not Stated,April 1922,171,
General Jacobs,21-Feb-1922,Not Stated,At Sea,Jettison cargo,April 1922,171,
Harriet,21-Feb-1922,"Ice, On Rocks",Near Hay Cove,Not Stated,April 1922,171,
Sudbury,21-Feb-1922,Disabled,Hamburg,Engine disabled,April 1922,171,
Willfaro,21-Feb-1922,Grounded,North Point,Not Stated,April 1922,171,
Epson,22-Feb-1922,Fouled,River Tyne,Not Stated,May 1922,214,
Eugenia Owen Mackay,22-Feb-1922,Collision,Buck Creek Buoy,Leaking,April 1922,171,
Florida,22-Feb-1922,Water In Hold,Christiansand,Damage to cargo,April 1922,171,
Key West,22-Feb-1922,Fouled,River Tyne,Not Stated,May 1922,214,
Narbo,22-Feb-1922,Collision,Duck Creek Buoy,Not Stated,April 1922,171,
San Lorenzo,22-Feb-1922,Disabled,San Juan,Lost propeller blade,April 1922,171,
Yarbo,22-Feb-1922,Collision,Buck Creek Buoy,Not Stated,April 1922,171,
G. R. Crowe,23-Feb-1922,Storm,At Sea,Damage to deck,May 1922,214,
Grace & Ruby,23-Feb-1922,Disabled,Boston Lightship,Not Stated,April 1922,171,
Kamesit,23-Feb-1922,Disabled,Mississippi River,Machinery trouble,April 1922,171,
Merrymount,23-Feb-1922,Loose Rivets,Boston,Leaking Condition,April 1922,171,
Romeo,23-Feb-1922,Fire,Azores,Heavy damage,May 1922,214,
Roxburgh,23-Feb-1922,Grounded,Columbia River,Undamaged,April 1922,171,
Conte Rosso,24-Feb-1922,Disabled,Clyde,Turbines damaged,April 1922,171,
Lowel F. Parks,24-Feb-1922,"Hurricane, Leaking",At Sea,Abandoned,April 1922,171,
Sally Wren,24-Feb-1922,Lost Anchors,Near Charleston,Not Stated,April 1922,171,
Atlas,25-Feb-1922,Disabled,Point Gorda,Lost propeller blade,April 1922,171,
Cranford,25-Feb-1922,Struck Wharf,Charleston,Slight Damage,April 1922,171,
Parkhaven,25-Feb-1922,Disabled,Norfolk,Rudder Trouble,April 1922,171,
Chaumont,26-Feb-1922,Disabled,Honolulu,Not Stated,March 1922,124,
Mexico,26-Feb-1922,Ashore,Near Elsinore,Leaking,April 1922,171,
Vasari,26-Feb-1922,Disabled,Off Clifton,Engine trouble,April 1922,171,
Bella,27-Feb-1922,Grounded,James Point,Not Stated,April 1922,171,
Rosalie Hull,27-Feb-1922,Gale,Charleston,Lost lumber,April 1922,171,
Alm,1-Mar-1922,Not Stated,Fayal,Damaged,April 1922,171,
Canadian Navigator,1-Mar-1922,Disabled,Boutgues Head,Engine disabled,April 1922,171,
Catherine,1-Mar-1922,"Fog, Ashore",Baker's Island,Water in hold,April 1922,171,
City of Miami,1-Mar-1922,Disabled,Havana,Lost propeller blades,April 1922,171,
Maravi,1-Mar-1922,Disabled,At Sea,Fuel feed plant disabled,April 1922,171,
Rose E. Murphy,1-Mar-1922,Fire,Cape Haitien,Slight Damage,April 1922,171,
Grontoft,2-Mar-1922,Not Stated,At Sea,Sinking condition,April 1922,171,
Maumee,2-Mar-1922,Fog,Charleston,Ashore,April 1922,171,
Parisiana,2-Mar-1922,Rough Sea,At Sea,Damage to cargo,April 1922,171,
Grace Clinton,4-Mar-1922,Fire,Block  Island,Not Stated,May 1922,214,
Luna d'Miel,4-Mar-1922,Stranded,Cape Hatteras,Not Stated,May 1922,214,
James Timpson,5-Mar-1922,Disabled,Colon,Burnt bearings,May 1922,214,
Matoa,5-Mar-1922,Stranded,Blackfish Bank,Not Stated,May 1922,214,
West Durfee,5-Mar-1922,Disabled,Falmouth,Turbine trouble,May 1922,214,
Bothwell,6-Mar-1922,Disabled,St. John,Propeller Trouble,May 1922,214,
Cameronia,6-Mar-1922,Hit Abutment,Halifax,Stem damaged,May 1922,214,
Chester Sun,6-Mar-1922,Grounded,Cherry Island Flats,Jettison cargo,May 1922,214,
Margaret Thomas,6-Mar-1922,Collision,Northeast of Barnegat,Not Stated,May 1922,214,
Mundelta,6-Mar-1922,Collision,Northeast of Barnegat,Not Stated,May 1922,214,
Olive Moore,6-Mar-1922,Heavy Weather,Near Barbados,Rigging damaged,May 1922,214,
Orthia,6-Mar-1922,Disabled,Mid-Atlantic,Burst Pipe,May 1922,214,
Balsa,7-Mar-1922,Ashore,Cape Charles,Not Stated,May 1922,214,
Eastern Sun,7-Mar-1922,Fire,River Mersey,Not Stated,May 1922,214,
Irene M. Davidson,7-Mar-1922,Strained,Bay View,Seams opened,May 1922,214,
Joseph S. Zeeman,7-Mar-1922,Storm,Metenic Ledge,Ashore,May 1922,214,
Levi W. Ostrander,7-Mar-1922,Disabled,Astoria,Lost sails,May 1922,214,
West Munham,7-Mar-1922,Struck Rocks,Heligoland,Water in hold,May 1922,214,
Agwimars,8-Mar-1922,Disabled,St. Michaels,Shaft damaged,May 1922,214,
Ario,8-Mar-1922,Collision,Sand Key,Not Stated,May 1922,214,
Bayou Chico,8-Mar-1922,Collision,Below Mobile,Heavy damage to bow,May 1922,214,
Eastern Temple,8-Mar-1922,Ashore,Seven Foot Knoll,Not Stated,May 1922,214,
Esther,8-Mar-1922,Disabled,San Francisco,Leaking,May 1922,214,
Kennecott,8-Mar-1922,Collision,Sand Key,Stern Damaged,May 1922,214,
Pensacola,8-Mar-1922,Collision,Below Mobile,Bows badly damaged,May 1922,214,
Silvio Pellico,8-Mar-1922,Grounded,Fort Mifflin Bar,Not Stated,May 1922,214,
R. L. Borden,9-Mar-1922,Ashore,Feltzen South,Not Stated,May 1922,214,
Rockaway Park,9-Mar-1922,Disabled,New York,Engine trouble,May 1922,214,
Lord Ormonde,10-Mar-1922,Pumps Choked,Queenstown,Water in forepeak,May 1922,214,
Willkeno,10-Mar-1922,Fire,Catania,Damage to engine and cargo,May 1922,214,
Gladys  M. Taylor,11-Mar-1922,Stranded,Marquesas,Not Stated,May 1922,214,
Lake Winthrop,11-Mar-1922,Disabled,Off Hatteras,Engine trouble,May 1922,214,
Ophir,12-Mar-1922,Disabled,New York,Propeller Trouble,May 1922,214,
Verbania,12-Mar-1922,Collision,River Thames,Heavy damage,May 1922,214,
Camilla May Page,13-Mar-1922,Disabled,Jacksonville,Keel damaged,May 1922,214,
Gorredyk,13-Mar-1922,Storm,At Sea,Damage to deck fittings,May 1922,214,
Ashtabula,15-Mar-1922,Collision,Overfalls Lightship,Unknown,May 1922,214,
Frank D.  Stout,15-Mar-1922,Ashore,West of Ballard Rocks,Not Stated,May 1922,214,
Lenape,15-Mar-1922,Grounded,Robbins Reef,Undamaged,May 1922,214,
Lord Strathcona,15-Mar-1922,Disabled,At Sea,Propeller shaft broke,May 1922,214,
Maumee,15-Mar-1922,Ashore,Cape Fear Bar,Undamaged,May 1922,214,
Western Glen,15-Mar-1922,Grounded,Near Odessa,Jettison cargo,May 1922,214,
Westmead,15-Mar-1922,Disabled,Dartmouth,Engine trouble,May 1922,214,
"Anthony Groves, Jr.",17-Mar-1922,Disabled,Marcus Hook,Lost Propeller,May 1922,214,
Atlantenhavet,17-Mar-1922,Disabled,Near Mobile,Engine trouble,May 1922,214,
Dryden,17-Mar-1922,Disabled,Honolulu,Not Stated,May 1922,214,
Jacques Cartier,17-Mar-1922,Ashore,Havre,Undamaged,May 1922,214,
Osakis,17-Mar-1922,Not Stated,Syria,Cargo damaged,May 1922,214,
Potomac,17-Mar-1922,Fire,New York,Not Stated,May 1922,214,
Tulsagas,17-Mar-1922,Disabled,Near Mobile,Engine trouble,May 1922,214,
West Isleta,17-Mar-1922,Disabled,Boston,Steerer Trouble,May 1922,214,
William S. McDonald,17-Mar-1922,Disabled,Bermuda,Leaking,May 1922,214,
Diana,18-Mar-1922,Disabled,Near Cabot Island,Tail shaft broke,May 1922,214,
John D. Archbold,19-Mar-1922,Grounded,Off Romer Shoals,Not Stated,May 1922,214,
City of Tokio,20-Mar-1922,Dragged Anchor,Kobe,Leak in tank,May 1922,214,
Ecola,20-Mar-1922,Struck Reef,Coos Bay,Bottom damaged,May 1922,214,
Fairhaven,20-Mar-1922,"Disabled, In Tow",Manzanillo,Waterlogged,May 1922,214,
Munwood,20-Mar-1922,On Reef,Near Puerto Padre Light,Jettison cargo,May 1922,214,
Scotsburn,20-Mar-1922,Sinking,Off Cape Sable,Abandoned,May 1922,214,
City of Bombay,21-Mar-1922,Disabled,Southampton,Oil tank damaged,May 1922,214,
Angel,22-Mar-1922,Collision,San Diego,Heavy Damage,May 1922,214,
Arizonan,23-Mar-1922,Disabled,Balboa,Propeller Damaged,May 1922,214,
Canadian Spinner,23-Mar-1922,Disabled,Auckland,Steerer damaged,May 1922,214,
City of Fairbury,23-Mar-1922,Disabled,Norfolk,Leaking,May 1922,214,
Effna,23-Mar-1922,Lost Anchor,Newsport News,Not Stated,May 1922,214,
Harold Walker,23-Mar-1922,Broke Moorings,Norfolk Harbor,Not Stated,May 1922,214,
J. A. Bostwick,23-Mar-1922,Disabled,Norfolk,Engine trouble,May 1922,214,
Nuria,23-Mar-1922,Disabled,At Sea,Blew out cylinder head,May 1922,214,
West Caruth,23-Mar-1922,Grounded,Cherbourg,Leaking,May 1922,214,
West Quechee,23-Mar-1922,Lost Anchor,Lamberts Point,Not Stated,May 1922,214,
Charles A. Dean,24-Mar-1922,Collision,East of Barnegat,Leaking,May 1922,214,
Metapan,24-Mar-1922,Collision,East of Barnegat,Plates damaged,May 1922,214,
Saxon,24-Mar-1922,Grounded,Near Jacksonville,Jettison cargo,May 1922,214,
Spilsby,24-Mar-1922,Disabled,At Sea,Short bunkers,May 1922,214,
Bryn Mawr,25-Mar-1922,Fire,New York,Considerable damage,May 1922,214,
Italia,25-Mar-1922,Grounded,New Bedford,Undamaged,May 1922,214,
Kremlin,25-Mar-1922,Ashore,Off Sabine Pass,Heavy damage,May 1922,214,
Lydia McClellan Baxter,25-Mar-1922,Struck Rocks,Fort St. George,Leaking badly,May 1922,214,
Patrick Henry,25-Mar-1922,Struck Wharf,Part Eads,Undamaged,May 1922,214,
Poleric,25-Mar-1922,Fire,Calcutta,Heavy damage,May 1922,214,
Garfield,26-Mar-1922,Fire,Beach Channel,Not Stated,May 1922,214,
Lake Elmhurst,26-Mar-1922,Collision,Philadelphia,Damage to plates,May 1922,214,
Malvern,26-Mar-1922,Collision,Off Fort Wadsworth,Sank,May 1922,214,
Southwestern Miller,26-Mar-1922,Collision,Philadelphia,Undamaged,May 1922,214,
Stanley Dollar,26-Mar-1922,Disabled,At Sea,Lost Hawser,May 1922,214,
Allianca,27-Mar-1922,Collision,Hampton Roads,Not Stated,May 1922,214,
Bess,27-Mar-1922,Collision,Hampton Roads,Sank,May 1922,214,
Clara H. Donnell,27-Mar-1922,"Fog, Ashore",Townsend's Inlet Bar,Not Stated,May 1922,214,
Edith Nute,27-Mar-1922,Ashore,Chatham Beach,Total loss,May 1922,214,
Gay Head,27-Mar-1922,"Fog, Collision",Buzzards Bay,Heavy damage to superstructure,May 1922,214,
Hosbar,27-Mar-1922,"Lightning, Fire",Near Mobile,Heavy  Damage,May 1922,214,
Marie Borges,27-Mar-1922,Sprung Leak,Newsport News,Sank,May 1922,214,
Miramar,27-Mar-1922,"Fog, Collision",Buzzards Bay,Heavy damage,May 1922,214,
T. J. Sherman,27-Mar-1922,Collision,New Bedford,Stern Damaged,May 1922,214,
Anna,28-Mar-1922,"Fog, Collision",Near Galveston,Damage to plates,May 1922,214,
Baltimore Maru,28-Mar-1922,"Fog, Collision",Near Galveston,Damage to forecastle,May 1922,214,
Diana,28-Mar-1922,Abandoned,At Sea,Burned,May 1922,214,
Eastern City,28-Mar-1922,Ashore,Near Reval,Leaking,May 1922,214,
Ricameron,28-Mar-1922,"Fog, Ashore",Off Nantucket,"Wrecked, Total loss",May 1922,214,
Baltimore Maru,29-Mar-1922,Dragged Anchor,Galveston,Grounded,May 1922,214,
Gaffney,29-Mar-1922,Collision,Constantinople,Unknown,May 1922,214,
Glendola,29-Mar-1922,Collision,Yonkers,Not Stated,May 1922,214,
Katherine,30-Mar-1922,Grounded,Sandwich Harbor,Undamaged,May 1922,214,
Korona,30-Mar-1922,Disabled,Bermuda,Air Pump damaged,May 1922,214,
Lewis Luckenbach,30-Mar-1922,Collision,Delaware River,Undamaged,May 1922,214,
Mazama,30-Mar-1922,Collision,Philadelphia,Damage to stern,May 1922,214,
Mulqueen Jr.,30-Mar-1922,Ashore,Cape Cod Canal,Undamaged,May 1922,214,
Avon Queen,31-Mar-1922,"Fog, Collision",Off Cape Henry,Broke bowsprit,May 1922,214,
E. C. Adams,31-Mar-1922,Collision,Shelburne Light,Damage to stem and sails,May 1922,214,
Frode,31-Mar-1922,"Fog, Collision",Off Cape Henry,Unknown,May 1922,214,
General Currie,31-Mar-1922,Stranded,St. Pierre Harbor,Not Stated,June 1922,261,
Iowan,31-Mar-1922,Fire,Balboa,Damage to cargo,May 1922,214,
Patrick & Michael,31-Mar-1922,Collision,Shelburne Light,Heavy damage,May 1922,214,
Zenon,31-Mar-1922,Leaking,New Orleans,Water in hold,May 1922,214,
Brandon,1-Apr-1922,Disabled,Off Block Island,Steerer disabled,May 1922,214,
Burus No. 80,1-Apr-1922,Collision,Ellis Island,Leaking badly,May 1922,214,
Hazel Trahey,1-Apr-1922,Disabled,Barbados,Leaking,May 1922,214,
Monterey,1-Apr-1922,Fire,At Sea,Not Stated,May 1922,214,
Port Angeles,1-Apr-1922,Disabled,San Francisco,Lost Rudder,May 1922,214,
West Himtod,2-Apr-1922,Collision,Colon Breakwater,Damage to port bow,May 1922,214,
Wolsum,2-Apr-1922,Collision,Colon Breakwater,Not Stated,May 1922,214,
New England,3-Apr-1922,Disabled,Aberdeen,Boilers damaged,May 1922,214,
San Francisco Maru,3-Apr-1922,Rudder Disabled,Near Kobe,"Ashore, Leaking",May 1922,214,
Santa Rosalia,3-Apr-1922,Disabled,Romer Lighthouse,Not Stated,May 1922,214,
Huron,4-Apr-1922,Ashore,San Pedro de Macoris,Hole in bottom,May 1922,214,
Mar Blanco,4-Apr-1922,Collision,Near Galveston,Damage to bow and stem,May 1922,214,
Mongolia,4-Apr-1922,Fire,Hoboken,Damage to refrigeration plant,May 1922,214,
Palitan,4-Apr-1922,Not Stated,Northeast of Derna,Sank,May 1922,214,
Bethore,5-Apr-1922,Grounded,"St. Georges, S. I.",Not Stated,May 1922,214,
Persier,5-Apr-1922,Leaking,New York,Jettison cargo,May 1922,214,
Silversand,5-Apr-1922,Disabled,Off Clifton,Condensers disabled,May 1922,214,
Thetis,5-Apr-1922,Ice Floes,"St. Johns, Newfoundland",Heavy damage,May 1922,214,
City of Brockton,6-Apr-1922,Grounded,Port Morris,Not Stated,May 1922,214,
Concord,6-Apr-1922,Ashore,Sunken Meadows,Not Stated,May 1922,214,
W. J. Hanna,6-Apr-1922,Disabled,Peruvian Coast,Broke engine shaft,May 1922,214,
Willpolo,6-Apr-1922,Disabled,Off Corinto,Lost propeller,May 1922,214,
Willpolo,6-Apr-1922,Disabled,Gulf of Fonseca,Lost propeller,June 1922,261,
Orlando V. Wootten,8-Apr-1922,Ashore,Barnegat,Not Stated,May 1922,214,
Sorata,8-Apr-1922,Disabled,Newport News,Bunkers heated,May 1922,214,
Neptune Line No. 11,9-Apr-1922,Struck,New York,Hole in hull,June 1922,261,
Neptune No. 11,9-Apr-1922,Struck Rocks,Fort Warren,Sank,May 1922,214,
Brave Coeur,10-Apr-1922,Disabled,Gibraltar,Engine damaged,May 1922,214,
Ward,10-Apr-1922,Disabled,St. Michaels,Boiler Trouble,June 1922,261,
Dallas,11-Apr-1922,Lost Anchor & Chain,Hampton Roads,Not Stated,June 1922,261,
Derblay,11-Apr-1922,Grounded,Manta Bay,Undamaged,June 1922,261,
Glenclova,11-Apr-1922,Disabled,North of Grand Turk Island,Propeller blades gone,June 1922,261,
Henry Ford,11-Apr-1922,Grounded,Essex Bar,Structural Loss,June 1922,261,
Henry Lee (Tug),11-Apr-1922,Not Stated,Brooklyn,Sunk,June 1922,261,
Tifton,11-Apr-1922,Disabled,Vineyard Haven,Windlass damaged,June 1922,261,
Artemis,12-Apr-1922,Disable,At Sea,Lost propeller shaft,June 1922,261,
Bristol,12-Apr-1922,Gale,Penobscot Bay,Foundered,June 1922,261,
Gothicstar,12-Apr-1922,Disabled,Cristobal,Fuel tanks leaking,June 1922,261,
Grace Van Dusen,12-Apr-1922,Sank,"West Quoddy Bay, Maine",Total loss,June 1922,261,
Buxton,13-Apr-1922,Fire,Norfolk,Total loss,June 1922,261,
C. A. Black,13-Apr-1922,Fire,Cleveland,Slight Damage,June 1922,261,
Cumberland Queen,13-Apr-1922,In Tow,At Sea,Waterlogged,June 1922,261,
Martha Stevens,13-Apr-1922,Fire,Norfolk,Total loss,June 1922,261,
Rosedale,13-Apr-1922,Fire,Norfolk,Total loss,June 1922,261,
S. M. Spaulding,13-Apr-1922,Grounded,Off  Liberty,Not Stated,June 1922,261,
Seven Brothers,13-Apr-1922,Not Stated,Yonkers,Sunk,June 1922,261,
Watch Hill,13-Apr-1922,Fire,Norfolk,Total loss,June 1922,261,
Chicago Maru,14-Apr-1922,Collision,New Orleans,Slight Damage,June 1922,261,
Kewanee,14-Apr-1922,"Adrift, Col.",New Orleans,Slight Damage,June 1922,261,
Olaf  L. Kongstad,14-Apr-1922,Disabled,New York,Windlass,June 1922,261,
Omoa,14-Apr-1922,Collision,New Orleans,Slight Damage,June 1922,261,
Rose E. Murphy,14-Apr-1922,In Ballast,Bahia de Cadiz,Wrecked,June 1922,261,
South Jacksonville,14-Apr-1922,Grounded,Reedy Island,Not Stated,June 1922,261,
A. Morris (Tug),15-Apr-1922,Capsized,Near Gedney Channel,Sunk,June 1922,261,
Buena Vista,15-Apr-1922,Grounded,Shrewsbury River,Not Stated,June 1922,261,
Glencova,15-Apr-1922,Disabled,"Charleston, South Carolina",Not Stated,June 1922,261,
Jim Hughes,15-Apr-1922,Struck,Near Boston,"Sunk, Raised",June 1922,261,
Pampa,15-Apr-1922,Disabled,Off Scilly,Not Stated,June 1922,261,
Bremerton,17-Apr-1922,Disabled,Sandy Hook,Steerer Trouble,June 1922,261,
City of Valencia,17-Apr-1922,Fire,Philadelphia,Slight Damage,June 1922,261,
L. H. Washburn,17-Apr-1922,Gale,Brooklyn,Side stove in,June 1922,261,
Maid of England,17-Apr-1922,Not Stated,Gijon,Cargo Damaged,June 1922,261,
Osage,17-Apr-1922,Ashore,Grays harbor,Not Stated,June 1922,261,
Eastern Dawn,18-Apr-1922,Disabled,New York,Boiler disabled,June 1922,261,
Mapledene,18-Apr-1922,Gale,Halifax,Grounded,June 1922,261,
Meanticut,18-Apr-1922,Disabled,Falmouth,Defective machinery,June 1922,261,
Menomiee,18-Apr-1922,Disabled,At Sea,Streerer damaged,June 1922,261,
Orizaba,18-Apr-1922,On Rocks,Havana,Undamaged,June 1922,261,
C. D. Bradley,19-Apr-1922,Gale,Lorain,Shifted,June 1922,261,
Canadian,19-Apr-1922,Grounded,Georgian Bay,Leaking,June 1922,261,
Crete,19-Apr-1922,Collision,Erie,Slight Damage,June 1922,261,
Harriet B.,19-Apr-1922,Collision,Erie,Slight Damage,June 1922,261,
Hoover & Mason,19-Apr-1922,Gale,Lorain,Shifted,June 1922,261,
Shenango,19-Apr-1922,Gale,Lorain,Shifted,June 1922,261,
Theodore Roosevelt,19-Apr-1922,Lines Parted,Cleveland,Undamaged,June 1922,261,
Aeolus,20-Apr-1922,Collision,Off Cape Polonio,Damage to bow plates,June 1922,261,
Capt. Thomas Wilson,20-Apr-1922,Grounded,St. Clair Flats Canal,Undamaged,June 1922,261,
Glenbrae,20-Apr-1922,Disabled,Midland,Not Stated,June 1922,261,
Laketon,20-Apr-1922,Grounded,Sandwich,Not Stated,June 1922,261,
Oxonian,20-Apr-1922,Disabled,At Sea,Rudder stock damaged,June 1922,261,
Western Maid,20-Apr-1922,Disabled,Kaiser Wilhelm Canal,Rudder damaged,June 1922,261,
Yorkton,20-Apr-1922,Grounded,Whitefish Point,Not Stated,June 1922,261,
Zebedee E. Cliff,20-Apr-1922,Disabled,Charleston,Rudder head twisted,June 1922,261,
Zero,20-Apr-1922,Collision,Off Cape Polonio,Sunk,June 1922,261,
Andree,21-Apr-1922,Fire,Erie Basin Breakwater,Heavy damage,June 1922,261,
Annie and Reuben,21-Apr-1922,Collision,East Boston,Slight Damage,June 1922,261,
Brewster,21-Apr-1922,Collision,James River,Sunk,June 1922,261,
Dorthy Palmer,21-Apr-1922,Collision,East Boston,Not Stated,June 1922,261,
Lake Stryman,21-Apr-1922,Grounded,Jacksonville,Undamaged,June 1922,261,
Eastern Ocean,22-Apr-1922,Not Stated,Gibraltar,Bow damaged,June 1922,261,
Lehigh,22-Apr-1922,Hit Scow,Welland Canal,Hole in bow,June 1922,261,
Lillian E. Kerr,22-Apr-1922,Ashore,Colorado Reefs,Not Stated,June 1922,261,
